epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
35,303.894,0.2271,0.1879,0.211,0.82811,0,0.99767,1,0.995,0.995,0.99767,1,0.995,0.995,0.13845,0.15687,0.12774,0.77462,0,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,311.961,0.20298,0.16604,0.19451,0.83375,0,0.99769,1,0.995,0.995,0.99769,1,0.995,0.995,0.14345,0.15925,0.13768,0.77545,0,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,319.395,0.22393,0.20552,0.19466,0.82343,0,0.99769,1,0.995,0.995,0.99769,1,0.995,0.995,0.132,0.15499,0.12609,0.77407,0,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,327.002,0.21633,0.1919,0.19897,0.82511,0,0.99765,1,0.995,0.995,0.99765,1,0.995,0.995,0.13975,0.1528,0.1219,0.77377,0,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,333.95,0.21416,0.19885,0.21081,0.83502,0,0.99774,1,0.995,0.995,0.99774,1,0.995,0.995,0.1377,0.15791,0.14075,0.77427,0,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,340.84,0.22872,0.2036,0.1939,0.8379,0,0.99774,1,0.995,0.995,0.99774,1,0.995,0.99278,0.11815,0.16454,0.14684,0.77278,0,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,347.645,0.22136,0.17256,0.2029,0.83059,0,0.99771,1,0.995,0.995,0.99771,1,0.995,0.995,0.11258,0.15301,0.14141,0.77137,0,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,354.421,0.22629,0.19207,0.19934,0.82051,0,0.9977,1,0.995,0.995,0.9977,1,0.995,0.995,0.11535,0.15117,0.11372,0.77083,0,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,361.431,0.2035,0.16001,0.191,0.82008,0,0.99769,1,0.995,0.995,0.99769,1,0.995,0.995,0.11391,0.15311,0.11226,0.77137,0,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,368.107,0.21669,0.18268,0.19225,0.82652,0,0.99771,1,0.995,0.995,0.99771,1,0.995,0.995,0.12181,0.14997,0.11998,0.77185,0,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
